Year,Police_Region,Severity,Drink_Driving,Driver_Speed,Fatigued_Driver,Defective_Vehicle,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury
2001,Brisbane,Fatal,No,No,No,No,25,25,6,4,2
2001,Brisbane,Fatal,No,No,No,Yes,1,1,0,0,0
2001,Brisbane,Fatal,No,Yes,No,No,8,8,5,0,0
2001,Brisbane,Fatal,Yes,No,No,No,2,2,0,0,0
2001,Brisbane,Fatal,Yes,No,No,Yes,1,1,3,0,0
2001,Brisbane,Fatal,Yes,Yes,No,No,7,9,5,0,0
2001,Brisbane,Hospitalisation,No,No,No,No,978,0,1116,101,69
2001,Brisbane,Hospitalisation,No,No,No,Yes,13,0,14,1,0
2001,Brisbane,Hospitalisation,No,No,Yes,No,22,0,29,2,0
2001,Brisbane,Hospitalisation,No,Yes,No,No,38,0,49,9,8
2001,Brisbane,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,1,0,1,0,0
2001,Brisbane,Hospitalisation,Yes,No,No,No,66,0,86,13,2
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,1,0,1,0,0
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,5,0,5,0,0
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,10,0,15,2,0
2001,Brisbane,Medical treatment,No,No,,No,1946,0,0,2289,129
2001,Brisbane,Medical treatment,No,No,No,Yes,25,0,0,29,0
2001,Brisbane,Medical treatment,No,No,Yes,No,9,0,0,10,1
2001,Brisbane,Medical treatment,No,Yes,No,No,41,0,0,53,3
2001,Brisbane,Medical treatment,No,Yes,No,Yes,1,0,0,4,0
2001,Brisbane,Medical treatment,Yes,No,No,No,53,0,0,62,2
2001,Brisbane,Medical treatment,Yes,No,No,Yes,2,0,0,2,1
2001,Brisbane,Medical treatment,Yes,Yes,No,No,7,0,0,11,0
2001,Brisbane,Minor injury,No,No,No,No,1299,0,0,0,1547
2001,Brisbane,Minor injury,No,No,No,Yes,19,0,0,0,20
2001,Brisbane,Minor injury,No,No,Yes,No,7,0,0,0,7
2001,Brisbane,Minor injury,No,Yes,No,No,26,0,0,0,31
2001,Brisbane,Minor injury,No,Yes,No,Yes,3,0,0,0,3
2001,Brisbane,Minor injury,Yes,No,No,No,27,0,0,0,30
2001,Brisbane,Minor injury,Yes,No,No,Yes,1,0,0,0,2
2001,Brisbane,Minor injury,Yes,No,Yes,No,1,0,0,0,1
2001,Brisbane,Minor injury,Yes,Yes,No,No,1,0,0,0,1
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,1,0,0,0,1
2001,Brisbane,Property damage only,No,No,No,No,2023,0,0,0,0
2001,Brisbane,Property damage only,No,No,No,Yes,56,0,0,0,0
2001,Brisbane,Property damage only,No,No,Yes,No,22,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,89,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,5,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,2,0,0,0,0
2001,Brisbane,Property damage only,No,,Yes,Yes,1,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,159,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,2,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,15,0,0,0,0
2001,Central,Fatal,No,No,No,No,25,26,10,8,1
2001,Central,Fatal,No,No,No,Yes,1,1,0,0,0
2001,Central,Fatal,No,No,Yes,No,5,8,2,0,0
2001,Central,Fatal,No,Yes,No,No,3,4,0,0,0
2001,Central,Fatal,Yes,No,No,No,7,7,3,0,1
2001,Central,Fatal,Yes,Yes,No,No,2,2,1,0,0
2001,Central,Hospitalisation,No,No,No,No,305,0,358,79,
2001,Central,Hospitalisation,No,No,No,Yes,23,0,36,3,2
2001,Central,Hospitalisation,No,No,Yes,No,29,0,36,4,1
2001,Central,Hospitalisation,No,Yes,No,No,18,0,23,4,1
2001,Central,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0
2001,Central,Hospitalisation,Yes,No,No,No,43,0,53,6,1
